Timestamp,Location,Traffic Density,Average Speed,Vehicle Count,Emergency Vehicle Count,Congestion Level,Weather Conditions,Day of Week,Date,Time,Vehicle_ID,Emergency_Type,Latitude,Longitude,Speed_kmph,Traffic_Signal_ID,Signal_Status,Traffic_Density,Congestion_Level,Estimated_Travel_Time,Priority_Status
03:44.3,Location B,0.671269593,52.84501986,284,2,0.131802669,Clear,Monday,10-03-2024,03:44.3,6223,Fire Truck,12.29812001,77.96411495,51.02601722,6,Green,0.245272061,0.912574622,13.41763085,0
00:44.3,Location A,0.471155989,90.75374643,468,5,0.335181398,Cloudy,Thursday,10-03-2024,00:44.3,4455,Fire Truck,12.67346503,77.0197315,66.07939884,75,Yellow,0.148193449,0.220446482,7.542370026,1
53:44.3,Location B,0.960458927,24.71073941,233,9,0.105303081,Storm,Sunday,10-03-2024,53:44.3,8899,Police,12.85433608,77.11092239,28.94047703,7,Red,0.422799547,0.750589985,26.91768158,1
00:44.3,Location A,0.655885214,54.9458093,430,4,0.286469638,Storm,Friday,10-03-2024,00:44.3,7610,Other,12.74159089,77.70081236,83.98872071,74,Green,0.153123901,0.763361489,24.8438321,1
51:44.3,Location B,0.158730912,66.93275904,433,6,0.534864205,Clear,Wednesday,10-03-2024,51:44.3,1005,Other,12.48873388,77.63655702,75.00141891,96,Green,0.166707943,0.482136742,26.61293465,0
38:44.3,Location A,0.275115943,57.90027956,168,5,0.781484757,Clear,Saturday,10-03-2024,38:44.3,3527,Ambulance,12.95034259,77.33763051,89.755079,82,Red,0.253091679,0.173148976,27.73282135,1
45:44.3,Location A,0.383012843,79.09637624,217,3,0.21743905,Cloudy,Wednesday,10-03-2024,45:44.3,9463,Police,12.54248464,77.39877029,27.84174857,21,Green,0.326389949,0.472689699,15.05374315,0
56:44.3,Location A,0.678865775,57.957036,152,1,0.195249742,Fog,Friday,10-03-2024,56:44.3,1183,Police,12.73869052,77.50244362,81.43279135,44,Green,0.685091884,0.379078295,5.411753505,1
23:44.3,Location A,0.246918253,86.95569051,493,1,0.315029014,Fog,Monday,10-03-2024,23:44.3,2226,Other,12.01210678,77.39111016,25.70521488,97,Yellow,0.167734943,0.340163466,17.51934428,0
54:44.3,Location A,0.714417949,96.79591491,156,2,0.415843104,Cloudy,Monday,10-03-2024,54:44.3,5274,Other,12.13410614,77.20050974,44.16859926,20,Green,0.125449053,0.907179476,5.593717564,0
13:44.3,Location B,0.285136124,34.82458315,99,5,0.50848679,Rain,Thursday,10-03-2024,13:44.3,3021,Police,12.69554125,77.59646131,90.67666894,66,Green,0.711034696,0.329986874,27.73949708,1
08:44.3,Location C,0.761325367,63.22721999,287,5,0.598595061,Cloudy,Sunday,10-03-2024,08:44.3,8172,Police,12.8909647,77.24470026,37.54945285,64,Green,0.930592052,0.133759273,12.8159417,0
03:44.3,Location C,0.555622,42.68470343,414,0,0.603766645,Rain,Friday,10-03-2024,03:44.3,1005,Ambulance,12.85182824,77.02460118,30.00302136,12,Red,0.488012275,0.415551509,9.021903963,1
11:44.3,Location B,0.287924887,71.99962182,293,5,0.460444486,Clear,Saturday,10-03-2024,11:44.3,9403,Fire Truck,12.95039928,77.55045908,89.7082436,40,Yellow,0.794401861,0.491947136,19.35972093,1
21:44.3,Location D,0.466850217,51.5563286,256,0,0.412875151,Rain,Saturday,10-03-2024,21:44.3,9316,Other,12.19435211,77.31795122,31.20402161,26,Red,0.167863996,0.734830402,8.650991107,1
03:44.3,Location B,0.721758606,84.94772803,479,4,0.849057036,Cloudy,Monday,10-03-2024,03:44.3,1767,Other,12.96126541,77.67048591,22.52858431,42,Red,0.861038719,0.598370541,14.93352973,0
15:44.3,Location C,0.696118002,83.00141863,386,1,0.297295608,Clear,Monday,10-03-2024,15:44.3,1930,Ambulance,12.60287777,77.83168092,82.03125482,80,Red,0.334398606,0.50377565,29.13273295,0
12:44.3,Location C,0.214894496,70.14679936,210,0,0.167176584,Fog,Monday,10-03-2024,12:44.3,9677,Fire Truck,12.92932525,77.39370819,86.83086648,77,Red,0.958440678,0.506626727,10.84090693,0
09:44.3,Location D,0.813490984,69.80904545,465,0,0.67465272,Clear,Tuesday,10-03-2024,09:44.3,9029,Police,12.17870837,77.58017004,82.60061582,99,Green,0.216424789,0.484627119,20.75035573,1
06:44.3,Location C,0.279882572,21.00241614,406,3,0.388368361,Clear,Sunday,10-03-2024,06:44.3,7553,Other,12.5623851,77.67647388,72.3536211,97,Yellow,0.576068572,0.429267966,29.94377951,1
43:44.3,Location B,0.213947416,97.19104806,304,6,0.832888125,Fog,Saturday,10-03-2024,43:44.3,8074,Ambulance,12.37235788,77.25677105,78.60929162,20,Green,0.575661881,0.842965433,29.60005594,1
39:44.3,Location A,0.826066011,97.64197935,135,0,0.725959308,Fog,Wednesday,10-03-2024,39:44.3,1800,Fire Truck,12.48454404,77.93537828,41.94281276,38,Red,0.735450138,0.736776434,6.067697371,1
35:44.3,Location A,0.766686355,23.2661882,287,2,0.443311037,Clear,Saturday,10-03-2024,35:44.3,4393,Other,12.53868428,77.01461655,73.71014006,59,Green,0.764676036,0.521736856,17.09638388,1
31:44.3,Location B,0.8318483,79.66130016,407,7,0.919848094,Cloudy,Tuesday,10-03-2024,31:44.3,2980,Fire Truck,12.77861526,77.14496559,83.08195181,70,Green,0.237910827,0.691700373,25.51408394,1
39:44.3,Location B,0.316108888,42.02359658,361,7,0.894209098,Rain,Monday,10-03-2024,39:44.3,4072,Ambulance,12.85100513,77.85225165,76.49630093,94,Green,0.560401055,0.763203643,20.1871764,0
13:44.3,Location D,0.72129836,26.93171489,464,7,0.632587288,Storm,Tuesday,10-03-2024,13:44.3,6624,Police,12.2785336,77.87578009,90.39165805,62,Yellow,0.886612091,0.487756894,26.01552949,1
45:44.3,Location D,0.815280898,35.38069871,478,0,0.489141599,Clear,Saturday,10-03-2024,45:44.3,9319,Fire Truck,12.05740614,77.58151137,84.48750579,36,Green,0.778058056,0.935432922,10.97632771,0
42:44.3,Location B,0.90901353,66.89816879,153,9,0.434056178,Clear,Monday,10-03-2024,42:44.3,1241,Other,12.041004,77.94875292,81.89231972,79,Yellow,0.517065072,0.308448075,27.67857313,0
39:44.3,Location B,0.493327878,33.93576538,398,7,0.967079981,Cloudy,Wednesday,10-03-2024,39:44.3,3924,Fire Truck,12.07427051,77.13485949,94.9001986,79,Yellow,0.719834892,0.850307368,17.35846347,0
07:44.3,Location B,0.489262984,70.71187698,171,5,0.419864287,Rain,Monday,10-03-2024,07:44.3,3259,Ambulance,12.49899753,77.33154492,63.37927495,53,Yellow,0.339673247,0.578102508,15.94081288,1
33:44.3,Location D,0.569582437,33.82553093,450,1,0.936410047,Rain,Saturday,10-03-2024,33:44.3,3861,Fire Truck,12.8402569,77.30466623,42.15560616,67,Red,0.315724163,0.600258197,6.124471416,1
30:44.3,Location B,0.943221495,33.20075822,55,6,0.592289044,Clear,Saturday,10-03-2024,30:44.3,8702,Other,12.40739371,77.19559348,69.36023876,94,Red,0.182454427,0.624121624,28.48577653,1
23:44.3,Location B,0.8181234,31.715248,450,1,0.88245301,Clear,Sunday,10-03-2024,23:44.3,6919,Other,12.57374126,77.48600208,91.06241653,75,Yellow,0.472908411,0.622509994,28.91816673,1
57:44.3,Location A,0.624219793,65.16516423,16,3,0.197872648,Fog,Friday,10-03-2024,57:44.3,1789,Ambulance,12.79475707,77.54962829,83.54004901,74,Green,0.148092069,0.571380197,16.48880005,0
47:44.3,Location A,0.447943328,24.88344408,253,7,0.724404289,Clear,Friday,10-03-2024,47:44.3,2948,Other,12.01140512,77.74241408,38.70786479,73,Green,0.308768711,0.339009783,6.044606663,1
43:44.3,Location B,0.482151484,55.34890081,270,2,0.541436847,Clear,Monday,10-03-2024,43:44.3,4109,Ambulance,12.12245578,77.13643402,81.69426648,76,Green,0.516037914,0.193508991,5.265853104,0
03:44.3,Location C,0.878820874,94.30244245,156,1,0.537723361,Clear,Tuesday,10-03-2024,03:44.3,9260,Police,12.9835897,77.7884513,79.64507141,38,Red,0.245425456,0.672361198,6.821089122,0
58:44.3,Location D,0.261161073,35.08235077,50,4,0.908630199,Clear,Wednesday,10-03-2024,58:44.3,9548,Other,12.9679795,77.46029106,85.74590531,89,Yellow,0.329387555,0.81520254,11.42247225,1
09:44.3,Location C,0.404447102,83.43613188,237,3,0.618322245,Storm,Sunday,10-03-2024,09:44.3,9617,Other,12.09720263,77.47147431,83.04522596,38,Yellow,0.106746921,0.660896157,26.41602758,0
24:44.3,Location A,0.431106554,69.90599201,274,8,0.78092903,Clear,Sunday,10-03-2024,24:44.3,8017,Ambulance,12.00096504,77.49483093,56.66320458,75,Red,0.258039623,0.606264741,18.39254454,0
43:44.3,Location A,0.797703245,78.57505933,329,3,0.129873103,Cloudy,Sunday,10-03-2024,43:44.3,6307,Police,12.35125404,77.73954322,38.79118703,46,Yellow,0.965333111,0.22634974,8.640202487,1
19:44.3,Location B,0.510269608,96.47203664,201,5,0.439036364,Rain,Sunday,10-03-2024,19:44.3,5435,Police,12.71283902,77.94133925,44.53726617,17,Yellow,0.710650409,0.950126777,15.89852094,1
57:44.3,Location B,0.709174177,21.68210072,401,8,0.358902599,Clear,Sunday,10-03-2024,57:44.3,4584,Ambulance,12.11022814,77.37740609,83.77326283,75,Green,0.644833256,0.854785975,7.885098401,0
11:44.3,Location A,0.325517533,72.30939226,250,4,0.179649918,Storm,Sunday,10-03-2024,11:44.3,2501,Fire Truck,12.10387673,77.7805959,70.61600343,97,Yellow,0.856721534,0.752189033,6.168547061,1
35:44.3,Location A,0.551206528,30.69451699,468,0,0.680377761,Cloudy,Tuesday,10-03-2024,35:44.3,6203,Other,12.29098027,77.36363092,37.23014381,39,Green,0.757888948,0.36343115,17.2832153,1
03:44.3,Location D,0.325254066,37.50202525,281,7,0.474363515,Cloudy,Sunday,10-03-2024,03:44.3,3850,Other,12.656885,77.72991048,50.91078614,3,Green,0.266457613,0.996980186,26.81772841,0
13:44.3,Location B,0.271693664,41.77074392,323,3,0.834382834,Cloudy,Tuesday,10-03-2024,13:44.3,9435,Ambulance,12.05608635,77.24303482,70.87293255,57,Green,0.20573119,0.507747837,6.821961303,0
16:44.3,Location B,0.122448205,29.12312176,62,7,0.161661961,Rain,Wednesday,10-03-2024,16:44.3,5480,Ambulance,12.10382429,77.40907,90.41516579,34,Red,0.618265712,0.231465286,20.43693944,1
51:44.3,Location D,0.437136375,66.60759035,270,9,0.685144655,Fog,Friday,10-03-2024,51:44.3,3709,Ambulance,12.65449561,77.93411165,92.92312859,32,Green,0.530793695,0.415625508,25.66435225,1
36:44.3,Location D,0.153135262,98.96581,277,2,0.169406049,Rain,Tuesday,10-03-2024,36:44.3,2074,Other,12.43671854,77.15180907,45.15138568,81,Red,0.387143777,0.731159939,9.152789363,0
43:44.3,Location D,0.326394204,26.31351615,486,6,0.3212534,Clear,Sunday,10-03-2024,43:44.3,6348,Police,12.73659556,77.54547482,47.87086907,39,Red,0.953028059,0.136169607,23.01365804,0
30:44.3,Location A,0.532600043,39.00690917,181,3,0.468074749,Rain,Friday,10-03-2024,30:44.3,5452,Other,12.12987284,77.41455851,62.18494394,10,Red,0.586005881,0.157124757,20.58604,0
43:44.3,Location C,0.346306911,66.55769453,214,3,0.66167511,Clear,Thursday,10-03-2024,43:44.3,4157,Ambulance,12.24006828,77.22795681,93.15263356,13,Red,0.637955596,0.119454019,11.91853546,0
31:44.3,Location A,0.527723121,59.93177116,220,4,0.341449797,Cloudy,Sunday,10-03-2024,31:44.3,3008,Fire Truck,12.96901649,77.23744846,23.39790494,52,Red,0.548619337,0.349710604,17.71094842,0
27:44.3,Location A,0.14174652,28.57111116,357,6,0.968367669,Clear,Friday,10-03-2024,27:44.3,1610,Other,12.84221565,77.37450521,20.03642963,23,Green,0.546229414,0.284822589,6.673169083,0
28:44.3,Location C,0.539626651,80.89177391,362,0,0.960449433,Clear,Tuesday,10-03-2024,28:44.3,7191,Other,12.28504336,77.00067728,62.94043258,53,Yellow,0.145050359,0.870538729,17.13848224,1
07:44.3,Location D,0.930101703,57.97873974,480,4,0.710037304,Fog,Monday,10-03-2024,07:44.3,1286,Fire Truck,12.12803225,77.74407029,89.882844,75,Green,0.684583833,0.406835181,23.66571432,1
09:44.3,Location D,0.822918338,87.9725811,181,0,0.583575709,Cloudy,Sunday,10-03-2024,09:44.3,9772,Police,12.81724659,77.46049519,47.58988467,62,Green,0.885386574,0.86881248,9.540319877,1
07:44.3,Location B,0.791607018,74.29267166,423,8,0.82179159,Storm,Tuesday,10-03-2024,07:44.3,6143,Ambulance,12.85585209,77.02443516,62.93727423,61,Yellow,0.437879604,0.513484278,25.07989769,0
07:44.3,Location D,0.722629834,58.58050869,407,1,0.931531325,Clear,Friday,10-03-2024,07:44.3,1822,Ambulance,12.18396812,77.9471011,34.34089888,30,Yellow,0.70879909,0.61369096,15.89292104,0
03:44.3,Location D,0.164812832,57.67407227,20,0,0.169626612,Rain,Thursday,10-03-2024,03:44.3,7358,Fire Truck,12.12684361,77.77908986,56.899765,87,Green,0.286760518,0.69897692,15.89693745,0
